,name,address,brand,is_self,gas,diesel,washcar,lpg,fixcar,convenience,hour24,gu,lat,lng
0,(주)보성 세곡주유소,서울 강남구 헌릉로 731 (세곡동),SK에너지,Y,"1,556","1,594",Y,N,N,N,N,강남구,37.4672103,127.1187128
1,현대오일뱅크(주)직영 산성셀프주유소,서울 강남구 헌릉로 730,현대오일뱅크,Y,"1,619","1,599",Y,N,N,N,N,강남구,37.4664775,127.1190391
2,오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),SK에너지,Y,"1,624","1,659",Y,N,Y,N,Y,강남구,37.4858004,127.0396751
3,방죽주유소,서울 강남구 밤고개로 215 (율현동),GS칼텍스,Y,"1,627","1,629",Y,N,N,N,N,강남구,37.4749397,127.1068516
4,SK서광주유소,서울 강남구 역삼로 142,SK에너지,Y,"1,645","1,675",Y,N,Y,N,Y,강남구,37.4943462,127.0350659
5,현대오일뱅크 도곡셀프주유소,서울 강남구 남부순환로 2718 (도곡2동),현대오일뱅크,Y,"1,649","1,644",Y,N,Y,N,N,강남구,37.4824625,127.0430492
6,SK에너지㈜ 진달래주유소,서울 강남구 도곡로 208,SK에너지,N,"1,659","1,679",Y,N,N,N,N,강남구,37.4922037,127.0419554
7,현대오일뱅크(주) 유진주유소,서울 강남구 논현로 152 (도곡동),현대오일뱅크,N,"1,664","1,659",Y,N,Y,N,N,강남구,37.4873906,127.0399951
8,SK에너지(주) 매봉주유소,서울 강남구 언주로 307,SK에너지,Y,"1,679","1,699",Y,N,Y,N,N,강남구,37.4948481,127.0458254
9,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),S-OIL,N,"1,689","1,695",Y,N,Y,N,N,강남구,37.4877835,127.0466763
10,일원주유소,서울 강남구 양재대로55길 3 (일원동),S-OIL,Y,"1,695","1,637",N,N,N,N,N,강남구,37.4922459,127.0881366
11,(주)중앙에너비스 수서지점,서울 강남구 광평로 202 (수서동),SK에너지,Y,"1,695","1,637",Y,N,N,N,N,강남구,37.4839933,127.0949776
12,자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),SK에너지,Y,"1,698","1,650",Y,N,N,N,N,강남구,37.4835321,127.1039802
13,대교셀프주유소,서울 강남구 강남대로 640 (신사동),SK에너지,Y,"1,720","1,700",N,N,N,N,Y,강남구,37.5280898,127.0355331
14,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,SK에너지,Y,"1,747","1,795",Y,N,N,N,Y,강남구,37.5106775,127.0327236
15,에쓰-오일㈜직영 개나리주유소,서울 강남구 언주로 423 (역삼동),S-OIL,N,"1,749","1,819",Y,N,N,N,Y,강남구,37.4999072,127.0373932
16,대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),SK에너지,Y,"1,759","1,799",Y,N,N,N,Y,강남구,37.5226879,127.0252724
17,에스제이에너지산업(주) 개포주유소,서울 강남구 양재대로 339,GS칼텍스,N,"1,848","1,778",Y,N,N,N,N,강남구,37.4723322,127.0517033
18,대성석유(주)동호주유소,서울 강남구 봉은사로113길 51,GS칼텍스,N,"1,899","1,942",N,N,N,N,N,강남구,37.5184855,127.0646604
19,지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516 (역삼동),GS칼텍스,N,"1,913","1,900",N,N,Y,N,Y,강남구,37.5026952,127.036474
20,현대오일뱅크(주)직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),현대오일뱅크,N,"1,978","1,879",Y,N,N,N,N,강남구,37.5194704,127.0263136
